event_id,route_id,timestamp,direction,distance_cm,severity
EVT001,RT01,2026-05-15 08:12:34,Front,45,High
EVT002,RT01,2026-05-15 08:12:50,Left,90,Medium
EVT003,RT01,2026-05-15 08:13:10,Front,30,High
EVT004,RT02,2026-05-15 09:05:11,Front,120,Low
EVT005,RT02,2026-05-15 09:05:40,Right,60,Medium
EVT006,RT02,2026-05-15 09:06:02,Front,35,High
EVT007,RT03,2026-05-15 12:30:15,Left,55,Medium
EVT008,RT03,2026-05-15 12:30:45,Front,25,High
EVT009,RT01,2026-05-16 08:10:05,Rear,110,Low
EVT010,RT02,2026-05-16 09:00:20,Front,40,High
